revenue,expenses,sla,tickets,customer_satisfaction
100000,80000,99.0,100,85
100100,80080,98.95,101,86
100200,80160,98.9,102,87
100300,80240,98.85,103,88
100400,80320,98.8,104,89
100500,80400,98.75,105,90
100600,80480,98.7,106,91
100700,80560,98.65,107,92
100800,80640,98.6,108,93
100900,80720,98.55,109,94
101000,80800,99.0,110,95
101100,80880,98.95,111,96
101200,80960,98.9,112,97
101300,81040,98.85,113,98
101400,81120,98.8,114,99
101500,81200,98.75,115,85
101600,81280,98.7,116,86
101700,81360,98.65,117,87
101800,81440,98.6,118,88
101900,81520,98.55,119,89
102000,81600,99.0,120,90
102100,81680,98.95,121,91
102200,81760,98.9,122,92
102300,81840,98.85,123,93
102400,81920,98.8,124,94
102500,82000,98.75,125,95
102600,82080,98.7,126,96
102700,82160,98.65,127,97
102800,82240,98.6,128,98
102900,82320,98.55,129,99
103000,82400,99.0,130,85
103100,82480,98.95,131,86
103200,82560,98.9,132,87
103300,82640,98.85,133,88
103400,82720,98.8,134,89
103500,82800,98.75,135,90
103600,82880,98.7,136,91
103700,82960,98.65,137,92
103800,83040,98.6,138,93
103900,83120,98.55,139,94
104000,83200,99.0,140,95
104100,83280,98.95,141,96
104200,83360,98.9,142,97
104300,83440,98.85,143,98
104400,83520,98.8,144,99
104500,83600,98.75,145,85
104600,83680,98.7,146,86
104700,83760,98.65,147,87
104800,83840,98.6,148,88
104900,83920,98.55,149,89
105000,84000,99.0,150,90
105100,84080,98.95,151,91
105200,84160,98.9,152,92
105300,84240,98.85,153,93
105400,84320,98.8,154,94
105500,84400,98.75,155,95
105600,84480,98.7,156,96
105700,84560,98.65,157,97
105800,84640,98.6,158,98
105900,84720,98.55,159,99
106000,84800,99.0,160,85
106100,84880,98.95,161,86
106200,84960,98.9,162,87
106300,85040,98.85,163,88
106400,85120,98.8,164,89
106500,85200,98.75,165,90
106600,85280,98.7,166,91
106700,85360,98.65,167,92
106800,85440,98.6,168,93
106900,85520,98.55,169,94
107000,85600,99.0,170,95
107100,85680,98.95,171,96
107200,85760,98.9,172,97
107300,85840,98.85,173,98
107400,85920,98.8,174,99
107500,86000,98.75,175,85
107600,86080,98.7,176,86
107700,86160,98.65,177,87
107800,86240,98.6,178,88
107900,86320,98.55,179,89
108000,86400,99.0,180,90
108100,86480,98.95,181,91
108200,86560,98.9,182,92
108300,86640,98.85,183,93
108400,86720,98.8,184,94
108500,86800,98.75,185,95
108600,86880,98.7,186,96
108700,86960,98.65,187,97
108800,87040,98.6,188,98
108900,87120,98.55,189,99
109000,87200,99.0,190,85
109100,87280,98.95,191,86
109200,87360,98.9,192,87
109300,87440,98.85,193,88
109400,87520,98.8,194,89
109500,87600,98.75,195,90
109600,87680,98.7,196,91
109700,87760,98.65,197,92
109800,87840,98.6,198,93
109900,87920,98.55,199,94
110000,88000,99.0,200,95
110100,88080,98.95,201,96
110200,88160,98.9,202,97
110300,88240,98.85,203,98
110400,88320,98.8,204,99
110500,88400,98.75,205,85
110600,88480,98.7,206,86
110700,88560,98.65,207,87
110800,88640,98.6,208,88
110900,88720,98.55,209,89
111000,88800,99.0,210,90
111100,88880,98.95,211,91
111200,88960,98.9,212,92
111300,89040,98.85,213,93
111400,89120,98.8,214,94
111500,89200,98.75,215,95
111600,89280,98.7,216,96
111700,89360,98.65,217,97
111800,89440,98.6,218,98
111900,89520,98.55,219,99
112000,89600,99.0,220,85
112100,89680,98.95,221,86
112200,89760,98.9,222,87
112300,89840,98.85,223,88
112400,89920,98.8,224,89
112500,90000,98.75,225,90
112600,90080,98.7,226,91
112700,90160,98.65,227,92
112800,90240,98.6,228,93
112900,90320,98.55,229,94
113000,90400,99.0,230,95
113100,90480,98.95,231,96
113200,90560,98.9,232,97
113300,90640,98.85,233,98
113400,90720,98.8,234,99
113500,90800,98.75,235,85
113600,90880,98.7,236,86
113700,90960,98.65,237,87
113800,91040,98.6,238,88
113900,91120,98.55,239,89
114000,91200,99.0,240,90
114100,91280,98.95,241,91
114200,91360,98.9,242,92
114300,91440,98.85,243,93
114400,91520,98.8,244,94
114500,91600,98.75,245,95
114600,91680,98.7,246,96
114700,91760,98.65,247,97
114800,91840,98.6,248,98
114900,91920,98.55,249,99
115000,92000,99.0,250,85
115100,92080,98.95,251,86
115200,92160,98.9,252,87
115300,92240,98.85,253,88
115400,92320,98.8,254,89
115500,92400,98.75,255,90
115600,92480,98.7,256,91
115700,92560,98.65,257,92
115800,92640,98.6,258,93
115900,92720,98.55,259,94
116000,92800,99.0,260,95
116100,92880,98.95,261,96
116200,92960,98.9,262,97
116300,93040,98.85,263,98
116400,93120,98.8,264,99
116500,93200,98.75,265,85
116600,93280,98.7,266,86
116700,93360,98.65,267,87
116800,93440,98.6,268,88
116900,93520,98.55,269,89
117000,93600,99.0,270,90
117100,93680,98.95,271,91
117200,93760,98.9,272,92
117300,93840,98.85,273,93
117400,93920,98.8,274,94
117500,94000,98.75,275,95
117600,94080,98.7,276,96
117700,94160,98.65,277,97
117800,94240,98.6,278,98
117900,94320,98.55,279,99
118000,94400,99.0,280,85
118100,94480,98.95,281,86
118200,94560,98.9,282,87
118300,94640,98.85,283,88
118400,94720,98.8,284,89
118500,94800,98.75,285,90
118600,94880,98.7,286,91
118700,94960,98.65,287,92
118800,95040,98.6,288,93
118900,95120,98.55,289,94
119000,95200,99.0,290,95
119100,95280,98.95,291,96
119200,95360,98.9,292,97
119300,95440,98.85,293,98
119400,95520,98.8,294,99
119500,95600,98.75,295,85
119600,95680,98.7,296,86
119700,95760,98.65,297,87
119800,95840,98.6,298,88
119900,95920,98.55,299,89
120000,96000,99.0,100,90
120100,96080,98.95,101,91
120200,96160,98.9,102,92
120300,96240,98.85,103,93
120400,96320,98.8,104,94
