date,region,segment,product_line,revenue,orders,customers,review_score,cancellations,delivery_time_days,returning_customer
2026-06-13,LATAM,Enterprise,Platform,2114.3,5,2,3.1,2,2.1,0
2026-01-24,Europe,Mid-Market,AI Suite,3670.25,9,5,2.6,1,8.9,1
2026-07-27,North America,Enterprise,Operations,13104.85,3,4,3.4,0,3.4,1
2026-01-25,LATAM,Enterprise,AI Suite,5705.2,6,5,3.2,0,9.0,0
2026-08-01,APAC,Enterprise,Analytics,9615.28,6,5,3.0,0,1.5,0
2026-08-10,Europe,SMB,AI Suite,1964.52,5,4,4.1,1,2.8,1
2026-06-29,APAC,SMB,Analytics,14081.49,2,5,4.1,0,2.8,1
2026-06-25,Europe,SMB,AI Suite,5202.1,1,2,4.6,0,5.4,0
2026-02-24,LATAM,SMB,Operations,10003.86,7,4,2.9,1,3.7,1
2026-04-03,Europe,SMB,Operations,3680.15,3,5,3.7,0,10.5,0
2026-06-02,North America,SMB,AI Suite,1421.15,7,5,5.0,2,11.7,0
2026-07-16,Europe,SMB,Platform,9793.95,2,3,3.6,1,1.0,1
2026-08-11,APAC,Mid-Market,Platform,9566.85,9,5,3.0,2,9.4,0
2026-01-29,LATAM,Enterprise,Analytics,13971.93,5,2,2.6,2,11.4,0
2026-02-02,Europe,SMB,AI Suite,10066.39,9,2,3.2,4,5.7,0
2026-04-13,North America,Mid-Market,Platform,14929.67,6,4,4.7,3,2.3,0
2026-05-31,North America,Enterprise,AI Suite,8531.86,10,2,2.5,5,7.9,0
2026-01-19,Europe,Mid-Market,Operations,7955.26,5,4,3.0,0,9.0,1
2026-02-18,North America,Enterprise,Operations,1867.72,7,3,3.6,3,10.5,0
2026-07-06,APAC,Mid-Market,Analytics,5419.89,2,2,3.0,1,2.5,0
2026-08-12,Europe,Enterprise,Operations,13887.35,8,5,2.7,4,10.2,0
2026-05-05,LATAM,Mid-Market,Operations,7479.7,7,1,2.9,0,11.8,1
2026-06-28,North America,SMB,AI Suite,14381.11,9,4,2.9,2,3.4,0
2026-01-15,Europe,Enterprise,Platform,1227.06,8,5,4.8,4,2.7,0
2026-06-22,North America,Mid-Market,AI Suite,12996.38,7,1,4.9,1,7.4,0
2026-08-28,LATAM,Mid-Market,Platform,4281.1,6,2,3.2,1,8.4,1
2026-01-03,APAC,Enterprise,Analytics,7145.14,10,1,2.7,1,6.6,0
2026-04-05,APAC,SMB,Platform,4632.32,8,5,4.3,4,11.8,0
2026-08-29,APAC,SMB,Analytics,13232.84,5,1,4.7,2,7.1,1
2026-07-03,APAC,Enterprise,Platform,5471.76,5,5,3.7,0,2.0,1
2026-03-27,North America,Enterprise,Analytics,11681.23,5,2,4.4,2,8.8,0
2026-05-20,APAC,Enterprise,AI Suite,1022.41,6,5,3.9,3,2.4,1
2026-02-23,Europe,Enterprise,Analytics,10389.97,2,3,4.5,1,11.7,0
2026-08-14,APAC,Enterprise,Platform,6478.27,3,3,4.5,1,9.8,0
2026-04-08,Europe,Enterprise,Analytics,13146.42,8,2,3.0,3,4.8,0
2026-04-13,North America,Enterprise,AI Suite,5259.8,2,3,3.4,1,8.5,1
2026-02-15,LATAM,SMB,Platform,8918.55,5,1,2.8,1,4.8,1
2026-04-09,APAC,Mid-Market,Platform,13542.82,4,3,2.6,1,1.0,0
2026-06-20,APAC,SMB,Operations,13851.18,10,3,4.2,0,8.9,1
2026-03-25,Europe,SMB,AI Suite,6334.81,5,5,2.8,1,8.3,1
2026-04-14,LATAM,Mid-Market,Operations,8445.09,1,3,3.2,0,9.6,1
2026-06-22,North America,Enterprise,AI Suite,3598.67,8,2,4.1,2,6.7,1
2026-02-27,LATAM,Mid-Market,Analytics,12195.16,3,1,2.6,1,7.7,0
2026-07-03,LATAM,Enterprise,Analytics,10597.14,8,4,3.1,0,10.8,0
2026-07-25,LATAM,Enterprise,Operations,14390.51,9,4,2.6,1,11.1,0
2026-06-20,LATAM,Enterprise,Operations,8201.41,9,5,3.3,3,7.7,1
2026-04-26,APAC,Mid-Market,Platform,4258.28,4,3,4.4,2,6.3,0
2026-07-02,Europe,Mid-Market,Analytics,4643.06,5,3,3.3,2,1.9,0
2026-06-30,LATAM,Mid-Market,Platform,3602.32,7,4,3.3,3,5.6,0
2026-08-08,LATAM,SMB,Analytics,13269.52,10,4,3.7,2,4.3,1
2026-05-05,Europe,Mid-Market,Analytics,3681.61,7,4,2.6,2,8.4,1
2026-06-09,Europe,Mid-Market,Analytics,8244.79,7,5,3.9,0,1.9,1
2026-01-13,APAC,Mid-Market,AI Suite,4272.27,6,2,3.6,2,9.4,1
2026-08-02,North America,Enterprise,Analytics,1687.64,1,5,2.6,0,3.5,0
2026-02-21,LATAM,SMB,AI Suite,12668.82,10,2,3.1,3,8.4,0
2026-07-16,APAC,Enterprise,Platform,5848.98,10,5,4.9,5,2.3,0
2026-08-26,North America,SMB,AI Suite,5023.38,7,4,4.9,1,1.8,0
2026-08-06,North America,SMB,AI Suite,10421.76,2,5,4.5,1,6.9,1
2026-01-04,Europe,Mid-Market,Analytics,12818.85,8,1,3.6,2,8.0,1
2026-07-07,LATAM,SMB,AI Suite,8065.33,5,5,4.5,2,9.5,1
2026-03-24,APAC,Enterprise,Operations,12849.84,2,3,4.7,0,9.3,1
2026-08-06,North America,SMB,Analytics,5212.71,8,2,3.4,2,4.7,1
2026-01-22,LATAM,Enterprise,Platform,3999.66,7,4,3.9,1,8.6,1
2026-03-17,LATAM,SMB,AI Suite,3713.15,4,3,4.2,1,6.2,1
2026-04-01,North America,SMB,Analytics,10691.4,5,3,3.1,0,8.9,1
2026-02-19,Europe,Mid-Market,Analytics,3637.58,8,3,4.3,4,7.6,0
2026-04-03,Europe,SMB,Operations,3101.9,1,5,2.8,0,11.7,1
2026-01-27,APAC,Mid-Market,Platform,13154.44,10,3,3.7,3,4.7,0
2026-07-30,North America,Enterprise,Platform,1447.48,8,1,3.9,0,2.7,1
2026-05-23,LATAM,Mid-Market,AI Suite,11584.43,10,5,4.5,1,9.5,1
2026-08-09,Europe,SMB,Analytics,9033.61,7,3,3.9,0,7.7,0
2026-03-09,LATAM,SMB,Operations,10076.21,3,2,2.9,0,2.7,1
2026-03-16,APAC,SMB,Analytics,973.28,5,3,4.3,1,1.8,0
2026-04-19,APAC,SMB,AI Suite,2164.26,4,2,4.8,0,1.8,0
2026-04-23,North America,SMB,Platform,2303.13,5,4,4.9,2,6.9,1
2026-08-16,APAC,SMB,Platform,6764.42,6,5,3.1,0,3.5,0
2026-07-15,LATAM,Enterprise,Operations,11465.9,8,5,4.1,2,3.0,1
2026-03-31,APAC,SMB,Operations,6421.05,6,1,4.6,2,5.5,1
2026-07-28,North America,SMB,Operations,11527.25,1,4,2.7,0,4.6,1
2026-04-16,Europe,Mid-Market,Analytics,1285.96,9,3,4.1,3,7.9,0
2026-08-26,APAC,SMB,Platform,4676.42,8,1,2.6,4,9.8,0
2026-05-22,LATAM,SMB,AI Suite,6415.86,4,1,3.7,0,8.1,0
2026-05-11,LATAM,Enterprise,Analytics,10728.47,7,4,5.0,1,6.0,0
2026-08-10,APAC,SMB,Operations,1512.25,7,3,4.8,2,10.0,1
2026-08-10,LATAM,Mid-Market,Analytics,2654.63,9,4,3.4,4,9.4,1
2026-06-28,LATAM,Mid-Market,Analytics,3962.68,7,2,4.6,3,1.5,1
2026-05-07,North America,SMB,Operations,14489.95,3,5,4.9,1,10.6,1
2026-01-04,North America,Mid-Market,Operations,10975.44,7,2,2.7,2,4.7,1
2026-03-23,Europe,SMB,Platform,9588.59,8,5,2.6,0,3.6,1
2026-04-22,APAC,Enterprise,AI Suite,14685.9,2,4,2.9,1,10.9,0
2026-04-02,LATAM,SMB,Analytics,5935.2,3,2,3.8,0,2.9,0
2026-05-08,LATAM,Mid-Market,Analytics,13736.02,3,2,3.7,1,6.1,0
2026-01-19,APAC,Enterprise,Operations,6905.08,6,5,3.2,3,8.6,1
2026-08-07,North America,SMB,Operations,7506.52,4,4,3.9,2,4.3,1
2026-03-12,APAC,Enterprise,Analytics,617.42,1,5,4.4,0,9.5,0
2026-06-08,North America,SMB,AI Suite,4134.09,3,1,4.8,0,4.4,1
2026-07-07,APAC,Enterprise,AI Suite,2405.47,5,3,4.4,0,3.2,1
2026-08-22,North America,Enterprise,Analytics,12458.0,8,3,4.4,2,9.8,1
2026-08-09,LATAM,Mid-Market,AI Suite,10306.69,7,5,3.4,3,1.2,0
2026-05-30,Europe,SMB,Platform,6024.87,6,1,4.2,3,1.3,1
2026-06-12,LATAM,Enterprise,Platform,12445.9,5,4,2.8,0,11.4,1
2026-03-02,LATAM,SMB,Platform,13365.26,3,4,3.6,1,7.5,0
2026-08-02,Europe,Mid-Market,Platform,7595.53,7,3,2.6,2,3.4,1
2026-06-25,North America,SMB,Analytics,5826.36,6,1,3.5,1,11.7,1
2026-06-14,North America,SMB,Analytics,9772.65,1,1,4.5,0,11.9,0
2026-05-31,Europe,SMB,AI Suite,3631.29,4,3,4.4,2,1.0,0
2026-07-24,Europe,Mid-Market,Platform,3030.21,1,2,2.5,0,7.5,0
2026-02-02,North America,Mid-Market,Analytics,11254.91,9,1,4.4,3,5.9,1
2026-06-07,LATAM,Mid-Market,Platform,1128.79,9,3,3.6,0,1.7,1
2026-05-06,Europe,Mid-Market,AI Suite,10829.82,8,1,4.7,2,7.7,0
2026-04-08,Europe,Mid-Market,Operations,14922.1,9,3,3.6,4,5.7,0
2026-08-16,APAC,Mid-Market,Analytics,3813.16,6,4,3.5,0,4.4,1
2026-06-25,Europe,SMB,Platform,13883.28,2,1,4.6,0,5.8,1
2026-05-31,North America,Mid-Market,AI Suite,14371.06,9,3,4.2,3,4.9,1
2026-04-01,APAC,SMB,AI Suite,2002.21,9,2,2.9,3,3.5,0
2026-01-30,APAC,Enterprise,Analytics,11557.78,10,2,4.5,4,11.7,0
2026-03-11,North America,Enterprise,Platform,10689.13,5,3,3.4,0,10.6,1
2026-01-24,APAC,SMB,Platform,11318.62,4,4,3.5,1,2.7,1
2026-08-15,LATAM,SMB,Operations,1262.83,3,5,2.6,0,4.0,1
2026-04-17,APAC,Enterprise,Analytics,4460.92,9,1,3.4,0,4.1,1
2026-04-12,APAC,Mid-Market,Platform,14774.46,1,1,3.0,0,9.4,1
2026-01-02,North America,Mid-Market,Platform,7712.09,7,2,2.8,1,6.5,1
2026-04-22,APAC,Enterprise,Operations,771.75,2,3,3.9,1,8.8,1
2026-01-06,Europe,Mid-Market,Operations,14509.9,3,5,3.7,1,2.0,0
2026-05-15,Europe,Mid-Market,AI Suite,1640.38,5,3,3.1,0,1.8,0
2026-07-06,North America,Enterprise,Operations,14394.24,3,2,2.8,1,3.2,0
2026-04-29,APAC,Enterprise,Operations,11439.46,10,4,4.2,4,8.1,1
2026-01-18,LATAM,Mid-Market,Platform,7299.36,5,3,4.0,1,6.6,1
2026-01-15,LATAM,SMB,Platform,5846.7,5,1,4.1,0,7.8,1
2026-04-26,LATAM,Enterprise,AI Suite,13681.22,10,2,3.3,3,6.5,0
2026-07-02,APAC,Mid-Market,AI Suite,1722.77,3,1,3.1,1,11.9,0
2026-04-10,LATAM,Mid-Market,AI Suite,6427.16,6,5,2.6,2,1.7,0
2026-07-05,APAC,SMB,Operations,12847.71,10,2,3.3,4,8.3,1
2026-02-03,LATAM,SMB,AI Suite,9128.1,2,3,3.9,1,9.9,0
2026-01-05,Europe,Enterprise,AI Suite,5757.67,3,2,3.4,1,3.1,0
2026-08-05,Europe,SMB,Operations,11927.74,9,5,4.6,4,1.4,1
2026-02-09,LATAM,SMB,AI Suite,2852.58,10,2,4.3,0,5.5,0
2026-07-12,Europe,Mid-Market,Operations,11353.78,8,2,3.8,2,11.6,1
2026-04-29,APAC,Enterprise,Operations,11656.86,7,5,3.8,1,10.0,0
2026-08-12,APAC,Mid-Market,Analytics,5882.58,2,5,4.6,1,1.9,0
2026-08-01,APAC,Enterprise,Operations,6843.35,4,4,4.7,0,5.6,1
2026-01-21,North America,Mid-Market,Operations,5936.23,1,3,4.8,0,9.7,0
2026-06-28,Europe,SMB,Operations,12551.1,8,4,4.0,0,1.2,0
2026-01-29,North America,Enterprise,Operations,11754.5,4,3,2.8,0,5.6,1
2026-06-02,APAC,Enterprise,Operations,8272.78,9,5,3.1,1,4.2,0
2026-02-17,LATAM,Mid-Market,Platform,10133.38,2,5,4.9,0,11.5,0
2026-06-12,Europe,SMB,Platform,6109.78,6,3,4.4,2,9.7,1
2026-07-17,LATAM,SMB,Operations,8937.6,6,2,2.6,2,9.9,0
2026-06-11,North America,Enterprise,Platform,3143.03,3,1,4.3,1,1.4,0
2026-03-22,Europe,Mid-Market,AI Suite,14033.88,9,4,5.0,4,6.2,0
2026-08-09,LATAM,Mid-Market,AI Suite,11822.2,6,3,2.8,2,5.8,1
2026-02-17,LATAM,Enterprise,Operations,7694.95,8,3,4.8,4,3.9,0
2026-06-04,APAC,Mid-Market,Operations,14928.92,3,5,3.2,0,1.9,1
2026-02-12,APAC,SMB,Platform,10501.59,6,4,2.6,2,7.8,1
2026-01-20,LATAM,Enterprise,Analytics,10232.17,7,3,3.8,1,11.5,0
2026-01-18,APAC,Mid-Market,Operations,3921.93,6,3,3.5,0,7.7,1
2026-07-15,North America,Enterprise,Analytics,1614.84,3,5,3.4,1,8.1,0
2026-05-08,APAC,SMB,Operations,8007.31,9,1,3.2,2,8.7,0
2026-02-21,APAC,SMB,Platform,2278.24,2,4,2.9,1,12.0,1
2026-05-21,Europe,Enterprise,Analytics,8361.48,5,2,4.3,2,8.0,1
2026-07-22,North America,Enterprise,AI Suite,2513.71,8,1,3.4,4,5.1,0
