month,revenue,orders,customers,new_customers,returning_customers,churn_rate,avg_order_value,cancelled_orders,review_score
2026-01,120000,1500,900,180,720,4.2,80,45,4.6
2026-02,125000,1560,930,190,740,4.1,80.1,42,4.6
2026-03,128000,1610,960,195,765,4.0,79.5,40,4.7
2026-04,126000,1580,955,170,785,4.3,79.7,44,4.6
2026-05,122000,1510,940,155,785,4.8,80.8,52,4.5
2026-06,118000,1460,920,145,775,5.3,80.8,60,4.4
2026-07,113000,1390,890,130,760,5.9,81.3,68,4.3
2026-08,109000,1330,860,120,740,6.4,82.0,74,4.2
2026-09,111000,1360,870,125,745,6.1,81.6,70,4.3
2026-10,116000,1430,895,140,755,5.6,81.1,62,4.4
2026-11,121000,1490,920,160,760,5.0,81.2,55,4.5
2026-12,127000,1580,960,185,775,4.5,80.4,48,4.6
