customer_id,region,subscription_plan,monthly_revenue,tenure_months,support_tickets,last_login_days,feature_usage_pct,satisfaction_score,churn_risk
C001,North,Premium,120,36,1,2,88,9,Low
C002,North,Premium,115,28,2,4,81,8,Low
C003,East,Basic,40,4,9,37,21,3,High
C004,East,Basic,35,3,11,45,18,2,High
C005,South,Standard,75,12,6,19,44,5,Medium
C006,South,Standard,78,15,5,22,41,5,Medium
C007,West,Premium,130,42,1,1,91,9,Low
C008,West,Basic,38,5,10,40,16,2,High
C009,East,Basic,42,6,8,31,25,3,High
C010,South,Standard,72,10,7,26,37,4,Medium
C011,North,Premium,122,30,2,3,84,8,Low
C012,East,Basic,39,2,12,51,12,1,High
C013,South,Standard,76,13,6,18,46,5,Medium
C014,West,Basic,41,7,8,29,28,3,High
C015,East,Basic,37,4,13,48,14,2,High
C016,North,Premium,128,40,1,2,89,9,Low
C017,South,Standard,73,11,7,21,42,4,Medium
C018,West,Basic,36,3,11,43,17,2,High
C019,East,Basic,40,5,10,39,20,3,High
C020,North,Premium,125,38,2,3,86,8,Low
