month,revenue,orders,avg_order_value,return_rate,inventory_stockouts,customer_complaints,delivery_delay_hours,marketing_spend
Jan,1250000,14500,86.2,4.2,18,142,6,95000
Feb,1285000,14820,86.7,4.4,21,151,7,98000
Mar,1310000,15100,86.8,4.8,27,174,8,101000
Apr,1298000,14920,87.0,5.5,35,218,10,103000
May,1272000,14510,87.7,6.8,49,291,13,104000
Jun,1231000,13980,88.1,8.2,67,384,17,106000
Jul,1184000,13210,89.6,9.5,84,462,21,108000
Aug,1136000,12680,89.6,10.8,103,549,25,110000
Sep,1092000,12150,89.9,12.1,124,633,29,111000
Oct,1048000,11520,91.0,13.5,142,721,31,112000
Nov,1009000,11010,91.6,14.4,158,798,34,114000
Dec,968000,10580,91.5,15.2,171,872,38,115000
